Classification,est_latitude,est_longitude,fingerprint,est_latitude_trilateration,est_longitude_trilateration
2.0,58.59260585777718,16.172247389110158,,58.59255358376058,16.173173102549516
15.0,58.59180139993552,16.172048456189035,S9ea4bc1079dc0254C,58.592154276233224,16.172340453037137
19.0,58.592087877092155,16.1722049810859,LG-PK5(6E),58.59199158903658,16.172184203004072
23.0,58.59196795113024,16.17228675618233,,58.591397156756535,16.171139500729236
17.0,58.59256807959619,16.172118910870402,Scooter1,58.59303933731197,16.17187996445773
11.0,58.592608102881876,16.17225862083616,,58.59330785815025,16.173523558052885
8.0,58.592608095525165,16.17223632423721,ACTON III [LE],58.59183947243314,16.17385543398644
21.0,58.59261361267547,16.172255463561587,,58.59260508224172,16.173342073391893
1.0,58.59261404846082,16.172226546520115,,58.59290879828477,16.17139531878638
4.0,58.59260072852447,16.172227251125435,,58.592565031157044,16.173329385744687
3.0,58.59107685692194,16.171719227216006,,58.59198642233847,16.172130477190425
25.0,58.59259591086322,16.172221736849387,,58.59260536089238,16.17106894194918
10.0,58.590849393954,16.172031953027865,,58.59099769254814,16.172175046900037
16.0,58.59261678561292,16.172273361264306,,58.59288769613323,16.173998584907306
6.0,58.592603319876396,16.17225011004221,,58.59279947501025,16.170911690082182
18.0,58.59260658256202,16.17226456850269,,58.59279394289209,16.17291300731814
13.0,58.59258363797129,16.17211293818578,,58.59219875293817,16.170957003567967
97.0,58.59156517149442,16.172308387845952,Scooter1,58.5912475792234,16.17125313761913
55.0,58.590845111247816,16.172127491406346,,58.59065998097636,16.172955132356837
7.0,58.592607723726296,16.172254982315412,,58.5933566429077,16.173336391836703
22.0,58.59172975103355,16.17198270183338,,58.591363553435095,16.171602214357744
14.0,58.591771401259095,16.17220064636225,S941d6337df901c49C,58.591684708889595,16.170414399991838
0.0,58.59260307558829,16.172245762584417,,58.59313979450835,16.173816131289435
174.0,58.59260647664201,16.172227708681476,,58.592640404504685,16.173498444667707
88.0,58.59219271775872,16.17230516684559,B4E55331331E30AEE9,58.59256398481676,16.173890116944715
119.0,58.590720416379455,16.171806678050253,,58.59107174061721,16.170668093569983
54.0,58.592548803928395,16.17115452973116,,58.592495724237246,16.17117011604551
177.0,58.592383264561455,16.17117990495956,,58.59131785343527,16.17133523060059
123.0,58.591995664758834,16.1696438669912,,58.591703699651916,16.170141697259023
185.0,58.59064910194247,16.171788152996253,Sd15f4fe1b9f60f71C,58.59089524430251,16.171664703362108
83.0,58.59109671722982,16.16851803276373,,58.591702965056655,16.169379854329215
155.0,58.59203609447216,16.17098458530688,,58.591785809390956,16.170711378932484
145.0,58.590957242171655,16.171065104182322,,58.590915076418156,16.17059144189905
115.0,58.59082769048892,16.171501176756994,,58.59126253779644,16.170885064399624
99.0,58.592534748962464,16.169863613512522,,58.591711543556826,16.171639057901157
186.0,58.59236490809653,16.169332190683804,,58.59148287307482,16.16989548262504
49.0,58.59254307133881,16.169183443357763,,58.59174922777877,16.169562024589418
50.0,58.592625055246465,16.168782513728665,,58.592615928971895,16.16730275162297
52.0,58.59261793985407,16.16892917078697,,58.592611620509416,16.167705401403378
73.0,58.5909908773673,16.169815430742815,,58.59103184657602,16.169799479727356
86.0,58.590232274798446,16.16983369199173,,58.59131161868859,16.169983969786394
80.0,58.591969097531766,16.16897118989078,,58.59183727710377,16.16967567190668
205.0,58.59074081508297,16.17224501739118,,58.5917833343698,16.170885998480966
189.0,58.59072963866206,16.171731136175243,,58.59127046512143,16.17157457355043
51.0,58.592354758879054,16.169550412930672,,58.59162921618101,16.16881309469489
65.0,58.590408524741754,16.168522661257786,,58.590498251609624,16.168266366602264
84.0,58.59096722257106,16.169882271354112,LE-Bose Revolve+ SoundLink,58.590884545271614,16.1698404097011
81.0,58.5906816916367,16.172289325652883,,58.5909901532568,16.171214527512525
191.0,58.59059345548277,16.171545125152555,,58.591005994850086,16.17120046273088
178.0,58.59081451861151,16.1719310474631,,58.591125651038716,16.171810331641044
179.0,58.59026611730034,16.1710779021688,,58.589990470966605,16.171880885195517
124.0,58.59050934417291,16.171513186924034,,58.59096149810825,16.171280620348938
77.0,58.590752652800596,16.171648204636956,,58.59098064993074,16.171324435821784
147.0,58.590663796992956,16.171524057426957,,58.59035063261326,16.17210282484694
105.0,58.59088496742021,16.171982727695767,,58.591205575776435,16.171822466810585
98.0,58.59084428010837,16.171390337858792,,58.59135403444339,16.17123622829339
104.0,58.59227098731511,16.169863529338514,,58.59244082846946,16.171967552716612
108.0,58.59254319946542,16.169843492585883,,58.59336946851259,16.169837512246154
195.0,58.5923849269274,16.171437604236086,,58.593113336873884,16.171300520695958
206.0,58.59200711493914,16.169442746081383,,58.59128902360874,16.17082710876417
198.0,58.590408422231604,16.171229957310665,,58.591738799174344,16.171958476988202
192.0,58.592285898627516,16.172164973995546,,58.59341070853307,16.172794597912315
212.0,58.59076698926892,16.171915261518325,S34b0d04689a838a7C,58.590986533505095,16.171586822022096
182.0,58.59101902247048,16.171987784887296,,58.59105186872775,16.173097500471613
157.0,58.590713442457165,16.17151350216431,,58.59090491225652,16.170594335465992
131.0,58.59077909012188,16.1715854707813,,58.591131371716735,16.170852573166204
173.0,58.59070913817099,16.17159688887034,,58.59086597359004,16.17089959064939
107.0,58.5909268409012,16.171501853609353,,58.590517397749075,16.171275720301935
163.0,58.590803796077076,16.171819533602655,,58.59116147043637,16.17159282027804
111.0,58.5904142684457,16.171289983993898,,58.59071412621704,16.17031758439454
137.0,58.59069533999793,16.171003214925125,,58.59002982614574,16.17084408619063
152.0,58.590485328858584,16.17143164499038,,58.590120687349376,16.17269278191402
201.0,58.59062175660287,16.171858211718607,,58.59018056463199,16.172983008360674
158.0,58.590434368618205,16.171460860238998,,58.5900861773147,16.17239446900886
169.0,58.59061324505749,16.17119898290347,,58.589857198853025,16.170788600534138
146.0,58.59034120340121,16.171143717571088,,58.59023134408544,16.169332894739178
159.0,58.59051075493458,16.17144209912544,,58.58995175236692,16.172222744295734
151.0,58.59038847118088,16.171265916530718,,58.58993615103859,16.172830680094926
129.0,58.59047120001413,16.171007593695208,,58.5904407738115,16.1693181818243
164.0,58.59060316026154,16.17157623132757,,58.590114305746425,16.172419348529534
133.0,58.5901618645158,16.17099096158552,,58.58910186794631,16.170994030166426
132.0,58.59014969463688,16.17097835737869,,58.59093050304403,16.171034919932993
208.0,58.59074069936846,16.17180889456202,,58.59040319298331,16.173201995404053
211.0,58.59094132309077,16.17225984777159,,58.591142175523316,16.171636278477184
204.0,58.59067143557888,16.17195180118711,,58.59074503073964,16.17122221962172
176.0,58.5907023965687,16.17189780273243,,58.591223095764846,16.17126615189964
209.0,58.59187487102527,16.17228262837063,,58.59203359215979,16.173975132291762
207.0,58.59209364403108,16.17235411308481,,58.59223822782725,16.171096501031197
196.0,58.59214135012107,16.17228323150363,,58.59299190384722,16.172071962510223
200.0,58.592161632345366,16.17237178574382,,58.592984229843545,16.17241953824275
